"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"B6VZNGM2","journalArticle","2025","Waliullah, Md; George, Md Zahin Hossain; Hasan, Md Tarek; Alam, Md Khorshed; Munira, Mosa Sumaiya Khatun; Siddiqui, Noor Alam","Assessing the influence of cybersecurity threats and risks on the adoption and growth of digital banking: a systematic literature review","American Journal of Advanced Technology and Engineering Solutions","","30670470","10.63125/fh49gz18","http://arxiv.org/abs/2503.22710","The rapid digitalization of banking services has significantly transformed financial transactions, offering enhanced convenience and efficiency for consumers. However, the increasing reliance on digital banking has also exposed financial institutions and users to a wide range of cybersecurity threats, including phishing, malware, ransomware, data breaches, and unauthorized access. This study systematically examines the influence of cybersecurity threats on digital banking security, adoption, and regulatory compliance by conducting a comprehensive review of 78 peer-reviewed articles published between 2015 and 2024. Using the Preferred Reporting Items for Systematic Reviews and Meta-Analyses (PRISMA) methodology, this research critically evaluates the most prevalent cyber threats targeting digital banking platforms, the effectiveness of modern security measures, and the role of regulatory frameworks in mitigating financial cybersecurity risks. The findings reveal that phishing and malware attacks remain the most commonly exploited cyber threats, leading to significant financial losses and consumer distrust. Multi-factor authentication (MFA) and biometric security have been widely adopted to combat unauthorized access, while AI-driven fraud detection and blockchain technology offer promising solutions for securing financial transactions. However, the integration of third-party FinTech solutions introduces additional security risks, necessitating stringent regulatory oversight and cybersecurity protocols. The study also highlights that compliance with global cybersecurity regulations, such as GDPR, PSD2, and GLBA, enhances digital banking security by enforcing strict authentication measures, encryption protocols, and real-time fraud monitoring.","2025-02-03","2026-06-07 23:08:04","2026-06-07 23:08:04","2026-06-07 23:08:04","226-257","","01","1","","ajates","Assessing the influence of cybersecurity threats and risks on the adoption and growth of digital banking","","","","","","","","","","","","arXiv.org","","arXiv:2503.22710 [cs.CR]","","C:\Users\Dell\Zotero\storage\9GV7PTR7\Waliullah et al. - 2025 - Assessing the influence of cybersecurity threats and risks on the adoption and growth of digital ban.pdf; C:\Users\Dell\Zotero\storage\VSWTW3M9\2503.html","","","Computer Science - Computers and Society; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7M4VD6TH","journalArticle","2024","Javaheri, Danial; Fahmideh, Mahdi; Chizari, Hassan; Lalbakhsh, Pooia; Hur, Junbeom","Cybersecurity threats in FinTech: A systematic review","Expert Systems with Applications","","09574174","10.1016/j.eswa.2023.122697","http://arxiv.org/abs/2312.01752","The rapid evolution of the Smart-everything movement and Artificial Intelligence (AI) advancements have given rise to sophisticated cyber threats that traditional methods cannot counteract. Cyber threats are extremely critical in financial technology (FinTech) as a data-centric sector expected to provide 24/7 services. This paper introduces a novel and refined taxonomy of security threats in FinTech and conducts a comprehensive systematic review of defensive strategies. Through PRISMA methodology applied to 74 selected studies and topic modeling, we identified 11 central cyber threats, with 43 papers detailing them, and pinpointed 9 corresponding defense strategies, as covered in 31 papers. This in-depth analysis offers invaluable insights for stakeholders ranging from banks and enterprises to global governmental bodies, highlighting both the current challenges in FinTech and effective countermeasures, as well as directions for future research.","2024-05","2026-06-07 23:08:43","2026-06-07 23:08:43","2026-06-07 23:08:43","122697","","","241","","Expert Systems with Applications","Cybersecurity threats in FinTech","","","","","","","","","","","","arXiv.org","","arXiv:2312.01752 [cs.CR]","","C:\Users\Dell\Zotero\storage\C54NATYJ\Javaheri et al. - 2024 - Cybersecurity threats in FinTech A systematic review.pdf; C:\Users\Dell\Zotero\storage\SU2SXWMW\2312.html","","","Computer Science - Artificial Intelligence; Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SWGEBT7F","webpage","","","The Digital Operational Resilience Act for Financial Services: A Comparative Gap Analysis and Literature Review | Springer Nature Link","","","","","https://link.springer.com/chapter/10.1007/978-3-031-30694-5_40","","","2026-06-07 23:24:33","2026-06-07 23:24:33","2026-06-07 23:24:33","","","","","","","","","","","","","","","","","","","","","","","C:\Users\Dell\Zotero\storage\3C98QEVL\978-3-031-30694-5_40.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SP9NB88L","preprint","2020","Drivas, George; Chatzopoulou, Argyro; Maglaras, Leandros; Lambrinoudakis, Costas; Cook, Allan; Janicke, Helge","A NIS Directive compliant Cybersecurity Maturity Assessment Framework","","","","10.48550/arXiv.2004.10411","http://arxiv.org/abs/2004.10411","The NIS Directive introduces obligations for the security of the network and information systems of operators of essential services and of digital service providers and require from the national competent authorities to assess their compliance to these obligations. This paper describes a novel cybersecurity maturity assessment framework (CMAF) that is tailored to the NIS Directive requirements and can be used either as a self assessment tool from critical national infrastructures either as an audit tool from the National Competent Authorities for cybersecurity.","2020-04-22","2026-06-08 00:23:54","2026-06-08 00:23:54","2026-06-08 00:23:54","","","","","","","","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2004.10411 [cs.CR]","","C:\Users\Dell\Zotero\storage\2HX47RLV\Drivas et al. - 2020 - A NIS Directive compliant Cybersecurity Maturity Assessment Framework.pdf; C:\Users\Dell\Zotero\storage\UZHF7YNK\2004.html","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2004.10411","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XHWWFVGZ","preprint","2024","Liyanage, Lasini; Arachchilage, Nalin Asanka Gamagedara; Russello, Giovanni","SoK: Identifying Limitations and Bridging Gaps of Cybersecurity Capability Maturity Models (CCMMs)","","","","10.48550/arXiv.2408.16140","http://arxiv.org/abs/2408.16140","In the rapidly evolving digital landscape, where organisations are increasingly vulnerable to cybersecurity threats, Cybersecurity Capability Maturity Models (CCMMs) emerge as pivotal tools in enhancing organisational cybersecurity posture. CCMMs provide a structured framework to guide organisations in assessing their current cybersecurity capabilities, identifying critical gaps, and prioritising improvements. However, the full potential of CCMMs is often not realised due to inherent limitations within the models and challenges encountered during their implementation and adoption processes. These limitations and challenges can significantly hamper the efficacy of CCMMs in improving cybersecurity. As a result, organisations remain vulnerable to cyber threats as they may fail to identify and address critical security gaps, implement necessary improvements or allocate resources effectively. To address these limitations and challenges, conducting a thorough investigation into existing models is essential. Therefore, we conducted a Systematic Literature Review (SLR) analysing 43 publications to identify existing CCMMs, their limitations, and the challenges organisations face when implementing and adopting them. By understanding these barriers, we aim to explore avenues for enhancing the efficacy of CCMMs, ensuring they more effectively meet the cybersecurity needs of organisational entities.","2024-08-28","2026-06-08 00:41:53","2026-06-08 00:41:53","2026-06-08 00:41:53","","","","","","","SoK","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2408.16140 [cs.CR]","","C:\Users\Dell\Zotero\storage\RHVDF8ZQ\Liyanage et al. - 2024 - SoK Identifying Limitations and Bridging Gaps of Cybersecurity Capability Maturity Models (CCMMs).pdf; C:\Users\Dell\Zotero\storage\YSAA4RNE\2408.html","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2408.16140","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JLIABEUE","preprint","2026","Ali, Ratul","Operationalising Information Security Management: A Procedural Framework Analysis of ISO/IEC 27001:2022 Implementation in a Financial-Technology Organisation","","","","10.48550/arXiv.2604.23230","http://arxiv.org/abs/2604.23230","Organisations operating within information-intensive environments face intensifying pressure to formalise the governance of information security. The ISO/IEC 27001:2022 standard provides a globally recognised framework for establishing, implementing, maintaining, and continually improving an Information Security Management System (ISMS). This article analyses the procedural architecture deployed in a financial-technology organisation's ISMS, examining eight core operational procedures: IT Risk Assessment and Treatment, User Code of Conduct, Password Policy, Access Control, Internet Access, Physical Security, Backup and Restore Management, and Nonconformity Root Cause Analysis and Corrective Action. Drawing on documented internal training materials, the article investigates how each procedure operationalises the requirements of Annex~A controls and Clauses~6--10 of ISO~27001:2022. The paper evaluates the CIA Triad as a unifying evaluation criterion, the twelve-step risk assessment methodology, role-based responsibility allocation, and the interplay between corrective action governance and continual improvement. The findings suggest that a tightly integrated, multi-layered procedural hierarchy, supported by clear accountability structures and measurable risk metrics, constitutes the foundation of an effective ISMS implementation in financial-technology operating environments.","2026-04-25","2026-06-08 00:42:01","2026-06-08 00:42:01","2026-06-08 00:42:01","","","","","","","Operationalising Information Security Management","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2604.23230 [cs.SE]","","C:\Users\Dell\Zotero\storage\JVEXN3GC\Ali - 2026 - Operationalising Information Security Management A Procedural Framework Analysis of ISOIEC 270012.pdf; C:\Users\Dell\Zotero\storage\ZE7FT9Z4\2604.html","","","Computer Science - Cryptography and Security; Computer Science - Social and Information Networks; Computer Science - Software Engineering; Electrical Engineering and Systems Science - Systems and Control","","","","","","","","","","","","","","","","","","","arXiv:2604.23230","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4Q3JI4RB","preprint","2025","Taj-Taj, José Ignacio","Digital Transformation and Innovation Management in Financial Services: A Strategic Approach for Latin America","","","","10.2139/ssrn.5254944","https://papers.ssrn.com/abstract=5254944","Digital transformation has become a central component of the strategy of financial organizations globally. In Latin America, this trend has been accelerated by the disruption generated by fintechs, the digitalization of consumer habits, and the need to reduce operational costs in challenging macroeconomic environments. According to ECLAC (2023), more than 60% of financial institutions in Latin America have initiated formal digital transformation processes, although only 28% have reached advanced levels of digital maturity.","2025-05-15","2026-06-08 00:42:56","2026-06-08 00:42:56","2026-06-08 00:42:56","","","","","","","Digital Transformation and Innovation Management in Financial Services","","","","","Social Science Research Network","Rochester, NY","en","","SSRN Scholarly Paper","","","papers.ssrn.com","","","","C:\Users\Dell\Zotero\storage\HKHVCRLX\Taj-Taj - 2025 - Digital Transformation and Innovation Management in Financial Services A Strategic Approach for Lat.pdf","","","digital transformation; Emerging markets; Financial institutions; Innovation management; Latin America","","","","","","","","","","","","","","","","","","","5254944","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9AKPRKTY","preprint","2024","Sayeed, Sayed Abu; Rahman, Mir Mehedi; Alam, Samiul; Kshetri, Naresh","FSCsec: Collaboration in Financial Sector Cybersecurity -- Exploring the Impact of Resource Sharing on IT Security","","","","10.48550/arXiv.2410.15194","http://arxiv.org/abs/2410.15194","The financial sector's dependence on digital infrastructure increases its vulnerability to cybersecurity threats, requiring strong IT security protocols with other entities. This collaboration, however, is often identified as the most vulnerable link in the chain of cybersecurity. Adopting both symbolic and substantive measures lessens the impact of IT security spending on decreasing the frequency of data security breaches in the long run. The Protection Motivation Theory clarifies actions triggered by data sharing with other organizations, and the Institutional theory aids in comprehending the intricate relationship between transparency and organizational conduct. We investigate how things like regulatory pressure, teamwork among institutions, and people's motivations to protect themselves influence cybersecurity. By using simple theories to understand these factors, this research aims to provide insights that can help financial institutions make better decisions to protect. We have also included the discussion, conclusion, and future directions in regard to collaboration in financial sector cybersecurity for exploring impact of resource sharing.","2024-10-19","2026-06-08 00:44:23","2026-06-08 00:44:23","2026-06-08 00:44:23","","","","","","","FSCsec","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2410.15194 [cs.CR]","","C:\Users\Dell\Zotero\storage\NPL3TSYX\Sayeed et al. - 2024 - FSCsec Collaboration in Financial Sector Cybersecurity -- Exploring the Impact of Resource Sharing.pdf; C:\Users\Dell\Zotero\storage\EIDLM2GF\2410.html","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2410.15194","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ATFPP33X","preprint","2024","Kovacevic, Ana; Radenkovic, Sonja D.; Nikolic, Dragana","Artificial intelligence and cybersecurity in banking sector: opportunities and risks","","","","10.48550/arXiv.2412.04495","http://arxiv.org/abs/2412.04495","The rapid advancements in artificial intelligence (AI) have presented new opportunities for enhancing efficiency and economic competitiveness across various industries, espcially in banking. Machine learning (ML), as a subset of artificial intelligence, enables systems to adapt and learn from vast datasets, revolutionizing decision-making processes, fraud detection, and customer service automation. However, these innovations also introduce new challenges, particularly in the realm of cybersecurity. Adversarial attacks, such as data poisoning and evasion attacks, represent critical threats to machine learning models, exploiting vulnerabilities to manipulate outcomes or compromise sensitive information. Furthermore, this study highlights the dual-use nature of AI tools, which can be used by malicious users. To address these challenges, the paper emphasizes the importance of developing machine learning models with key characteristics such as security, trust, resilience and robustness. These features are essential to mitigating risks and ensuring the secure deployment of AI technologies in banking sectors, where the protection of financial data is paramount. The findings underscore the urgent need for enhanced cybersecurity frameworks and continuous improvements in defensive mechanisms. By exploring both opportunities and risks, this paper aims to guide the responsible integration of AI in the banking sector, paving the way for innovation while safeguarding against emerging threats.","2024-11-28","2026-06-08 00:44:37","2026-06-08 00:44:37","2026-06-08 00:44:37","","","","","","","Artificial intelligence and cybersecurity in banking sector","","","","","arXiv","","","","","","","arXiv.org","","arXiv:2412.04495 [cs.CR]","","C:\Users\Dell\Zotero\storage\2EGML79N\Kovacevic et al. - 2024 - Artificial intelligence and cybersecurity in banking sector opportunities and risks.pdf; C:\Users\Dell\Zotero\storage\XSTWKJW4\2412.html","","","Computer Science - Cryptography and Security","","","","","","","","","","","","","","","","","","","arXiv:2412.04495","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"UDLDZPQA","journalArticle","2025","Porrúa, Miguel; Moncayo, Guillermo; Paz, Santiago; Nowersztern, Ariel; Bejarano, Jorge Fernando; Baudino, Maria Florencia; Bordese, Maria Paula; Barret, Kerry-Ann; Baena, Carlos Eduardo; Jaramillo, Mariana; Garces, Orlando; Isidro, Agustín","2025 Cybersecurity Report: Vulnerability and Maturity Challenges to Bridging the Gaps in Latin America and the Caribbean","IDB Publications","","","10.18235/0013872","https://publications.iadb.org/en/2025-cybersecurity-report-vulnerability-and-maturity-challenges-bridging-gaps-latin-america-and","The digital revolution has irrevocably transformed the Americas, driving innovation, economic growth, and social connectivity. Yet, as our reliance on digital technologies deepens, so too do the risks posed by cyberthreats. Today, the Latin American and the Caribbean region face a dual challenge: seizing the opportunities of a digital future while safeguarding our societies from cybercrime, state-sponsored attacks, and threats to critical infrastructure. This latest Cybersecurity Maturity Study, developed through a strategic collaboration between the OAS CICTE, the Inter-American Development Bank (IDB), and the Global Cyber Security Capacity Centre (GCSCC) at the University of Oxford, is a vital tool for understanding where our region stands in its cybersecurity preparedness and what steps must be taken to address existing gaps. This study builds upon previous assessments, offering an updated, evidence-based evaluation of cybersecurity capacity across OAS member states. It provides invaluable insights into how countries are progressing in key cybersecurity domains, from national strategy development to incident response and resilience-building efforts.","2025-12-18","2026-06-08 00:45:40","2026-06-08 00:45:40","2026-06-08 00:45:40","","","","","","","2025 Cybersecurity Report","","","","","Inter-American Development Bank","","English","","","","","publications.iadb.org","","","","C:\Users\Dell\Zotero\storage\UEQQ5TEJ\Porrúa et al. - 2025 - 2025 Cybersecurity Report Vulnerability and Maturity Challenges to Bridging the Gaps in Latin Ameri.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
